drug_a_ik14,drug_b_ik14,a_name,b_name,pair_id,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict,faers_pt_covered_strict,faers_best_pt_code_strict
VRBKIVRKKCLPHA,WBXPDJSOTKVWSJ,Nefazodone,Pemetrexed,VRBKIVRKKCLPHA::WBXPDJSOTKVWSJ,0,,,,
INWLQCZOYSRPNW,WTYGAUXICFETTC,Mepivacaine,Cyclobarbital,INWLQCZOYSRPNW::WTYGAUXICFETTC,0,,,,
JEECQCWWSTZDCK,MLSQGNCUYAMAHD,Omadacycline,Glecaprevir,JEECQCWWSTZDCK::MLSQGNCUYAMAHD,0,,,,
NEMLPWNINZELKP,OEXHQOGQTVQTAT,Penthienate,Ipratropium,NEMLPWNINZELKP::OEXHQOGQTVQTAT,0,,,,
IOOWNWLVCOUUEX,NTTOTNSKUYCDAV,Vaborbactam,Potassium,IOOWNWLVCOUUEX::NTTOTNSKUYCDAV,0,,,,
JGRXMPYUTJLTKT,RLCLASQCAPXVLM,Vadadustat,Mavacamten,JGRXMPYUTJLTKT::RLCLASQCAPXVLM,0,,,,
ICMGLRUYEQNHPF,VAIOZOCLKVMIMN,Urapidil,Eplivanserin,ICMGLRUYEQNHPF::VAIOZOCLKVMIMN,0,,,,
WCJFBSYALHQBSK,ZQLDXCSTJFLRPY,Normethadone,Gantacurium,WCJFBSYALHQBSK::ZQLDXCSTJFLRPY,0,,,,
NOIIUHRQUVNIDD,PWVXXGRKLHYWKM,Nialamide,Eletriptan,NOIIUHRQUVNIDD::PWVXXGRKLHYWKM,0,,,,
GNXFOGHNGIVQEH,UYXAWHWODHRRMR,Methocarbamol,Hexobarbital,GNXFOGHNGIVQEH::UYXAWHWODHRRMR,0,,,,
HJORMJIFDVBMOB,JLICHNCFTLFZJN,(R)-Rolipram,Meptazinol,HJORMJIFDVBMOB::JLICHNCFTLFZJN,0,,,,
NEGYEDYHPHMHGK,WDEFBBTXULIOBB,4-Methoxyamphetamine,Dextilidine,NEGYEDYHPHMHGK::WDEFBBTXULIOBB,0,,,,
RXPRRQLKFXBCSJ,VEQOALNAAJBPNY,Vincamine,Antipyrine,RXPRRQLKFXBCSJ::VEQOALNAAJBPNY,0,,,,
INJOMKTZOLKMBF,MKELYWOVSPVORM,Guanfacine,Reposal,INJOMKTZOLKMBF::MKELYWOVSPVORM,0,,,,
WFWLQNSHRPWKFK,ZDXUKAKRHYTAKV,Tegafur,Lercanidipine,WFWLQNSHRPWKFK::ZDXUKAKRHYTAKV,0,,,,
PPEKGEBBBBNZKS,ZEHYJZXQEQOSON,Neosaxitoxin,Ethchlorvynol,PPEKGEBBBBNZKS::ZEHYJZXQEQOSON,0,,,,
NHUHCSRWZMLRLA,VBHQKCBVWWUUKN,Sulfisoxazole,Vernakalant,NHUHCSRWZMLRLA::VBHQKCBVWWUUKN,0,,,,
KYGZCKSPAKDVKC,NWGGKKGAFZIVBJ,Oxolinic acid,Antrafenine,KYGZCKSPAKDVKC::NWGGKKGAFZIVBJ,0,,,,
KQKPFRSPSRPDEB,SGOIRFVFHAKUTI,Sumatriptan,Tenofovir,KQKPFRSPSRPDEB::SGOIRFVFHAKUTI,2,,,,
PLIGPBGDXASWPX,PWWVAXIEGOYWEE,Iprindole,Promethazine,PLIGPBGDXASWPX::PWWVAXIEGOYWEE,0,,,,
JWHAUXFOSRPERK,MPBVHIBUJCELCL,(R)-Propafenone,Ibandronate,JWHAUXFOSRPERK::MPBVHIBUJCELCL,1,,,,
HTIQEAQVCYTUBX,JWPGJSVJDAJRLW,Amlodipine,Debrisoquine,HTIQEAQVCYTUBX::JWPGJSVJDAJRLW,0,,,,
GXPHKUHSUJUWKP,UREBDLICKHMUKA,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",Betamethasone,GXPHKUHSUJUWKP::UREBDLICKHMUKA,0,,,,
FEJKLNWAOXSSNR,NFIXBCVWIPOYCD,Benorilate,Tesmilifene,FEJKLNWAOXSSNR::NFIXBCVWIPOYCD,0,,,,
DMDGGSIALPNSEE,YMTMADLUXIRMGX,Hydroflumethiazide,Clocortolone,DMDGGSIALPNSEE::YMTMADLUXIRMGX,0,,,,
APKFDSVGJQXUKY,PDWUPXJEEYOOTR,Amphotericin B,Iobenguane,APKFDSVGJQXUKY::PDWUPXJEEYOOTR,1,,,,
DHMQDGOQFOQNFH,PJMPHNIQZUBGLI,Aluminium glycinate,Fentanyl,DHMQDGOQFOQNFH::PJMPHNIQZUBGLI,29,,,,
GNXFOGHNGIVQEH,QYKIQEUNHZKYBP,Methocarbamol,Vinyl ether,GNXFOGHNGIVQEH::QYKIQEUNHZKYBP,0,,,,
DIWRORZWFLOCLC,WTDRDQBEARUVNC,Lorazepam,Levodopa,DIWRORZWFLOCLC::WTDRDQBEARUVNC,102,,,,
JJCFRYNCJDLXIK,QPUVKSKJCNGSGT,Cyproheptadine,AZD-3043,JJCFRYNCJDLXIK::QPUVKSKJCNGSGT,0,,,,
AEQDJSLRWYMAQI,USSIQXCVUWKGNF,Tetrahydropalmatine,Dextromethadone,AEQDJSLRWYMAQI::USSIQXCVUWKGNF,0,,,,
CEMAWMOMDPGJMB,ZQTHOIGMSJMBLM,Oxprenolol,Calcium pangamate,CEMAWMOMDPGJMB::ZQTHOIGMSJMBLM,0,,,,
NEGYEDYHPHMHGK,YECBIJXISLIIDS,4-Methoxyamphetamine,Mepyramine,NEGYEDYHPHMHGK::YECBIJXISLIIDS,0,,,,
GOEMGAFJFRBGGG,UHSKFQJFRQCDBE,Acebutolol,Ropinirole,GOEMGAFJFRBGGG::UHSKFQJFRQCDBE,7,,,,
BXMFKNRZTLNAFY,XHWRWCSCBDLOLM,Metabutethamine,Nolatrexed,BXMFKNRZTLNAFY::XHWRWCSCBDLOLM,0,,,,
GDYUVHBMFVMBAF,OXLZNBCNGJWPRV,Oxyfedrine,Hexoprenaline,GDYUVHBMFVMBAF::OXLZNBCNGJWPRV,0,,,,
OCJYIGYOJCODJL,XDDJGVMJFWAHJX,Meclizine,Clorazepic acid,OCJYIGYOJCODJL::XDDJGVMJFWAHJX,11,,,,
BMPDWHIDQYTSHX,GZKLJWGUPQBVJQ,Eslicarbazepine,Sertindole,BMPDWHIDQYTSHX::GZKLJWGUPQBVJQ,0,,,,
UCTWMZQNUQWSLP,YEHCICAEULNIGD,Epinephrine,Pergolide,UCTWMZQNUQWSLP::YEHCICAEULNIGD,0,,,,
FBOZXECLQNJBKD,MIQPIUSUKVNLNT,Methotrexate,Tolcapone,FBOZXECLQNJBKD::MIQPIUSUKVNLNT,0,,,,
CNBGNNVCVSKAQZ,NGBFQHCMQULJNZ,Benzydamine,Torasemide,CNBGNNVCVSKAQZ::NGBFQHCMQULJNZ,6,,,,
NFBAXHOPROOJAW,UKTAZPQNNNJVKR,Phenindione,Dolasetron,NFBAXHOPROOJAW::UKTAZPQNNNJVKR,0,,,,
IENZQIKPVFGBNW,ZEWQUBUPAILYHI,Prazosin,Trifluoperazine,IENZQIKPVFGBNW::ZEWQUBUPAILYHI,1,,,,
ARPLCFGLEYFDCN,FHXBMXJMKMWVRG,Clocortolone acetate,Estradiol acetate,ARPLCFGLEYFDCN::FHXBMXJMKMWVRG,0,,,,
DJBNUMBKLMJRSA,WZHCOOQXZCIUNC,Flecainide,Cyclandelate,DJBNUMBKLMJRSA::WZHCOOQXZCIUNC,0,,,,
MUQUYTSLDVKIOF,RMRJXGBAOAMLHD,Alcuronium,Buprenorphine,MUQUYTSLDVKIOF::RMRJXGBAOAMLHD,0,,,,
WOSKHXYHFSIKNG,XUFQPHANEAPEMJ,Lenvatinib,Famotidine,WOSKHXYHFSIKNG::XUFQPHANEAPEMJ,106,,,,
MDSQOJYHHZBZKA,OUJTZYPIHDYQMC,Telotristat ethyl,Ambrisentan,MDSQOJYHHZBZKA::OUJTZYPIHDYQMC,0,,,,
KEJXLQUPYHWCNM,KPYSYYIEGFHWSV,Propanidid,Arbaclofen,KEJXLQUPYHWCNM::KPYSYYIEGFHWSV,0,,,,
DMUAPQTXSSNEDD,XSFJVAJPIHIPKU,Midecamycin,Flunisolide,DMUAPQTXSSNEDD::XSFJVAJPIHIPKU,0,,,,
KDLRVYVGXIQJDK,UBQNRHZMVUUOMG,Clindamycin,Zonisamide,KDLRVYVGXIQJDK::UBQNRHZMVUUOMG,26,,,,
LNPDTQAFDNKSHK,RXOIEVSUURELPG,Valdecoxib,Fenozolone,LNPDTQAFDNKSHK::RXOIEVSUURELPG,0,,,,
QVFWZNCVPCJQOP,UBQNRHZMVUUOMG,Chlorhexadol,Zonisamide,QVFWZNCVPCJQOP::UBQNRHZMVUUOMG,0,,,,
DHMQDGOQFOQNFH,GKNPSSNBBWDAGH,Aluminium glycinate,Mepenzolate,DHMQDGOQFOQNFH::GKNPSSNBBWDAGH,0,,,,
BNRMWKUVWLKDQJ,JHFNIHVVXRKLEF,Lorpiprazole,Ceftolozane,BNRMWKUVWLKDQJ::JHFNIHVVXRKLEF,0,,,,
BBAWEDCPNXPBQM,HZVLFTCYCLXTGV,Telaprevir,Grapiprant,BBAWEDCPNXPBQM::HZVLFTCYCLXTGV,0,,,,
DHHVAGZRUROJKS,IHEHEFLXQFOQJO,Phentermine,Piritramide,DHHVAGZRUROJKS::IHEHEFLXQFOQJO,0,,,,
UCHDWCPVSPXUMX,XWXYUMMDTVBTOU,Montelukast,Nilutamide,UCHDWCPVSPXUMX::XWXYUMMDTVBTOU,0,,,,
BFSMGDJOXZAERB,ZPUCINDJVBIVPJ,Dabrafenib,Cocaine,BFSMGDJOXZAERB::ZPUCINDJVBIVPJ,0,,,,
PWHROYKAGRUWDQ,RXOIEVSUURELPG,Difenpiramide,Fenozolone,PWHROYKAGRUWDQ::RXOIEVSUURELPG,0,,,,
BOCUKUHCLICSIY,IENZQIKPVFGBNW,Cyclothiazide,Prazosin,BOCUKUHCLICSIY::IENZQIKPVFGBNW,0,,,,
LEBVLXFERQHONN,ORYDPOVDJJZGHQ,Bupivacaine,Tirapazamine,LEBVLXFERQHONN::ORYDPOVDJJZGHQ,0,,,,
LUMAEVHDZXIGEP,ZPUCINDJVBIVPJ,Protokylol,Cocaine,LUMAEVHDZXIGEP::ZPUCINDJVBIVPJ,0,,,,
OGWKCGZFUXNPDA,SADQVAVFGNTEOD,Vincristine,Indalpine,OGWKCGZFUXNPDA::SADQVAVFGNTEOD,0,,,,
FABUFPQFXZVHFB,XLMALTXPSGQGBX,Ixabepilone,Dextropropoxyphene,FABUFPQFXZVHFB::XLMALTXPSGQGBX,0,,,,
ICMGLRUYEQNHPF,LSLYOANBFKQKPT,Urapidil,Fenoterol,ICMGLRUYEQNHPF::LSLYOANBFKQKPT,10,,,,
SAPNXPWPAUFAJU,YDSDEBIZUNNPOB,Lofepramine,Carfentanil,SAPNXPWPAUFAJU::YDSDEBIZUNNPOB,0,,,,
PVLJETXTTWAYEW,QXWYKJLNLSIPIN,Mizolastine,Droxidopa,PVLJETXTTWAYEW::QXWYKJLNLSIPIN,0,,,,
CMHHMUWAYWTMGS,WFWLQNSHRPWKFK,Oxybuprocaine,Tegafur,CMHHMUWAYWTMGS::WFWLQNSHRPWKFK,0,,,,
ALEXXDVDDISNDU,GCKFUYQCUCGESZ,Hydrocortisone acetate,Etonogestrel,ALEXXDVDDISNDU::GCKFUYQCUCGESZ,2,,,,
CLOMYZFHNHFSIQ,SEEPANYCNGTZFQ,Clonixin,Silver sulfadiazine,CLOMYZFHNHFSIQ::SEEPANYCNGTZFQ,0,,,,
DMNOVGJWPASQDL,TWQYWUXBZHPIIV,Oliceridine,GW842166,DMNOVGJWPASQDL::TWQYWUXBZHPIIV,0,,,,
HBBGRARXTFLTSG,WLHQHAUOOXYABV,Lithium cation,Lornoxicam,HBBGRARXTFLTSG::WLHQHAUOOXYABV,0,,,,
RHAXSHUQNIEUEY,ZSDBFLMJVAGKOU,Epirizole,Glycerol phenylbutyrate,RHAXSHUQNIEUEY::ZSDBFLMJVAGKOU,0,,,,
AMKVXSZCKVJAGH,RUZYUOTYCVRMRZ,Naratriptan,Doxazosin,AMKVXSZCKVJAGH::RUZYUOTYCVRMRZ,3,,,,
AKUJBENLRBOFTD,PFENFDGYVLAFBR,Dexamethasone acetate,Tinoridine,AKUJBENLRBOFTD::PFENFDGYVLAFBR,0,,,,
FGQFOYHRJSUHMR,WZPBZJONDBGPKJ,Lesinurad,Aztreonam,FGQFOYHRJSUHMR::WZPBZJONDBGPKJ,0,,,,
QFJCIRLUMZQUOT,WHBIGIKBNXZKFE,Sirolimus,Delavirdine,QFJCIRLUMZQUOT::WHBIGIKBNXZKFE,0,,,,
OTBXOEAOVRKTNQ,ZKLPARSLTMPFCP,Anagrelide,Cetirizine,OTBXOEAOVRKTNQ::ZKLPARSLTMPFCP,4,,,,
OWWLUIWOFHMHOQ,UVKZSORBKUEBAZ,Pipecuronium,Cyclizine,OWWLUIWOFHMHOQ::UVKZSORBKUEBAZ,0,,,,
JOATXPAWOHTVSZ,LDXSPUSKBDTEKA,Celiprolol,Morniflumate,JOATXPAWOHTVSZ::LDXSPUSKBDTEKA,0,,,,
FZSPJBYOKQPKCD,NZASCBIBXNPDMH,Alaproclate,Pyrithyldione,FZSPJBYOKQPKCD::NZASCBIBXNPDMH,0,,,,
GKTWGGQPFAXNFI,HQVHOQAKMCMIIM,Clopidogrel,WIN 55212-2,GKTWGGQPFAXNFI::HQVHOQAKMCMIIM,0,,,,
NNACHAUCXXVJSP,YEZNLOUZAIOMLT,Pitolisant,Tolfenamic acid,NNACHAUCXXVJSP::YEZNLOUZAIOMLT,0,,,,
PFENFDGYVLAFBR,RLAWWYSOJDYHDC,Tinoridine,Lisinopril,PFENFDGYVLAFBR::RLAWWYSOJDYHDC,0,,,,
RGCVKNLCSQQDEP,WHWZLSFABNNENI,Perphenazine,Epinastine,RGCVKNLCSQQDEP::WHWZLSFABNNENI,0,,,,
FSQKKOOTNAMONP,NOOLISFMXDJSKH,Acemetacin,(+)-menthol,FSQKKOOTNAMONP::NOOLISFMXDJSKH,0,,,,
FASDKYOPVNHBLU,GUHPRPJDBZHYCJ,Dexpramipexole,Tiaprofenic acid,FASDKYOPVNHBLU::GUHPRPJDBZHYCJ,0,,,,
GJXWDTUCERCKIX,NNJVILVZKWQKPM,Fosmidomycin,Lidocaine,GJXWDTUCERCKIX::NNJVILVZKWQKPM,0,,,,
HKQYGTCOTHHOMP,HYWYRSMBCFDLJT,Formononetin,Nimesulide,HKQYGTCOTHHOMP::HYWYRSMBCFDLJT,0,,,,
DUYJMQONPNNFPI,KQNZDYYTLMIZCT,Osimertinib,Brefeldin A,DUYJMQONPNNFPI::KQNZDYYTLMIZCT,0,,,,
GYHCTFXIZSNGJT,ZQHYKVKNPWDQSL,Tolvaptan,Phenazocine,GYHCTFXIZSNGJT::ZQHYKVKNPWDQSL,0,,,,
RSWOJTICKMKTER,WYMSBXTXOHUIGT,Isavuconazonium,Paraoxon,RSWOJTICKMKTER::WYMSBXTXOHUIGT,0,,,,
KFQYTPMOWPVWEJ,XTNGUQKDFGDXSJ,Rotigotine,Canagliflozin,KFQYTPMOWPVWEJ::XTNGUQKDFGDXSJ,0,,,,
DCOPUUMXTXDBNB,SEEPANYCNGTZFQ,Diclofenac,Silver sulfadiazine,DCOPUUMXTXDBNB::SEEPANYCNGTZFQ,81,,,,
LLJFMFZYVVLQKT,VRQVVMDWGGWHTJ,Gliquidone,Methotrimeprazine,LLJFMFZYVVLQKT::VRQVVMDWGGWHTJ,0,,,,
JLKIGFTWXXRPMT,PUDHBTGHUJUUFI,Sulfamethoxazole,Lanreotide,JLKIGFTWXXRPMT::PUDHBTGHUJUUFI,0,,,,
QIVUCLWGARAQIO,RWWYLEGWBNMMLJ,Atogepant,Remdesivir,QIVUCLWGARAQIO::RWWYLEGWBNMMLJ,0,,,,
FBOZXECLQNJBKD,VOXZDWNPVJITMN,Methotrexate,Estradiol,FBOZXECLQNJBKD::VOXZDWNPVJITMN,1074,94800.50139534884,5643.004722866164,1,17850643
GYQYAJJFPNQOOW,OFVLGDICTFRJMM,Gilteritinib,Tetracycline,GYQYAJJFPNQOOW::OFVLGDICTFRJMM,0,,,,
RSEPBGGWRJCQGY,UORJNBVJVRLXMQ,Estradiol valerate,Aprobarbital,RSEPBGGWRJCQGY::UORJNBVJVRLXMQ,0,,,,
HOIIHACBCFLJET,MWQCHHACWWAQLJ,Lumateperone,Prazepam,HOIIHACBCFLJET::MWQCHHACWWAQLJ,0,,,,
DKMFBWQBDIGMHM,YQNWZWMKLDQSAC,Melperone,Vortioxetine,DKMFBWQBDIGMHM::YQNWZWMKLDQSAC,0,,,,
HEMJJKBWTPKOJG,KSGXQBZTULBEEQ,Gemfibrozil,Dabigatran etexilate,HEMJJKBWTPKOJG::KSGXQBZTULBEEQ,0,,,,
AVPQPGFLVZTJOR,PAJMKGZZBBTTOY,Nemonoxacin,Treprostinil,AVPQPGFLVZTJOR::PAJMKGZZBBTTOY,0,,,,
PHPUXYRXPHEJDF,UIAGMCDKSXEBJQ,Oxyphenisatin acetate,Nimodipine,PHPUXYRXPHEJDF::UIAGMCDKSXEBJQ,0,,,,
DYLGFOYVTXJFJP,RMEDXOLNCUSCGS,Lumefantrine,Droperidol,DYLGFOYVTXJFJP::RMEDXOLNCUSCGS,0,,,,
LGZKGOGODCLQHG,VWYQKFLLGRBICZ,CA4P,Butanilicaine,LGZKGOGODCLQHG::VWYQKFLLGRBICZ,0,,,,
JYGLAHSAISAEAL,SNPPWIUOZRMYNY,Diphenadione,Bupropion,JYGLAHSAISAEAL::SNPPWIUOZRMYNY,0,,,,
KLZWOWYOHUKJIG,NZXKDOXHBHYTKP,Imidapril,Methohexital,KLZWOWYOHUKJIG::NZXKDOXHBHYTKP,0,,,,
FHXBMXJMKMWVRG,UTNUDOFZCWSZMS,Estradiol acetate,Teriflunomide,FHXBMXJMKMWVRG::UTNUDOFZCWSZMS,0,,,,
CUHVIMMYOGQXCV,LUKZNWIVRBCLON,Dexmedetomidine,Ciclesonide,CUHVIMMYOGQXCV::LUKZNWIVRBCLON,23,,,,
AMEROGPZOLAFBN,QFNHIDANIVGXPE,Fimasartan,Eluxadoline,AMEROGPZOLAFBN::QFNHIDANIVGXPE,0,,,,
URKOMYMAXPYINW,ZZUFCTLCJUWOSV,Quetiapine,Furosemide,URKOMYMAXPYINW::ZZUFCTLCJUWOSV,2765,36829.95155459147,2178.7600093748806,8,18886153
JVLBPIPGETUEET,SETFNECMODOHTO,Methylnaltrexone,Indisulam,JVLBPIPGETUEET::SETFNECMODOHTO,0,,,,
HYIMSNHJOBLJNT,OEKWJQXRCDYSHL,Nifedipine,Ticagrelor,HYIMSNHJOBLJNT::OEKWJQXRCDYSHL,37,,,,
RGVPOXRFEPSFGH,YARKMNAWFIMDKV,Tretoquinol,Epanolol,RGVPOXRFEPSFGH::YARKMNAWFIMDKV,0,,,,
FAOZLTXFLGPHNG,PTOAARAWEBMLNO,Fluorometholone,Cladribine,FAOZLTXFLGPHNG::PTOAARAWEBMLNO,0,,,,
OFZCIYFFPZCNJE,ZDLBNXXKDMLZMF,Carisoprodol,Cinitapride,OFZCIYFFPZCNJE::ZDLBNXXKDMLZMF,0,,,,
MYWUZJCMWCOHBA,SNBUBQHDYVFSQF,Levmetamfetamine,Cefmetazole,MYWUZJCMWCOHBA::SNBUBQHDYVFSQF,0,,,,
AJBMORBNKXNZSF,PTXGHCGBYMQQIG,Idraparinux,Proglumetacin,AJBMORBNKXNZSF::PTXGHCGBYMQQIG,0,,,,
DCCSDBARQIPTGU,VWFCHDSQECPREK,Fesoterodine,Cidofovir,DCCSDBARQIPTGU::VWFCHDSQECPREK,0,,,,
HXYVTAGFYLMHSO,WSPOMRSOLSGNFJ,Palmidrol,Chlorprothixene,HXYVTAGFYLMHSO::WSPOMRSOLSGNFJ,0,,,,
QIQNNBXHAYSQRY,TTWJBBZEZQICBI,Methylecgonine,Metoclopramide,QIQNNBXHAYSQRY::TTWJBBZEZQICBI,0,,,,
FPHLBGOJWPEVME,OSVMTWJCGUFAOD,Alminoprofen,Formestane,FPHLBGOJWPEVME::OSVMTWJCGUFAOD,0,,,,
NXFQHRVNIOXGAQ,OBMNJSNZOWALQB,Nitrofurantoin,Grazoprevir,NXFQHRVNIOXGAQ::OBMNJSNZOWALQB,0,,,,
DXPOSRCHIDYWHW,SBDNJUWAMKYJOX,Xamoterol,Meclofenamic acid,DXPOSRCHIDYWHW::SBDNJUWAMKYJOX,0,,,,
BFSMGDJOXZAERB,ITRJWOMZKQRYTA,Dabrafenib,Cortisone acetate,BFSMGDJOXZAERB::ITRJWOMZKQRYTA,0,,,,
CNIIGCLFLJGOGP,HRRBJVNMSRJFHQ,Naphazoline,Naftopidil,CNIIGCLFLJGOGP::HRRBJVNMSRJFHQ,0,,,,
BNRNXUUZRGQAQC,IAKHMKGGTNLKSZ,Sildenafil,Colchicine,BNRNXUUZRGQAQC::IAKHMKGGTNLKSZ,215,,,,
SEQDDYPDSLOBDC,SRZNHPXWXCNNDU,Temazepam,Cefotetan,SEQDDYPDSLOBDC::SRZNHPXWXCNNDU,0,,,,
IQPSEEYGBUAQFF,RDMOROXKXONCAL,Pantoprazole,Cefroxadine,IQPSEEYGBUAQFF::RDMOROXKXONCAL,0,,,,
KOHIRBRYDXPAMZ,WHBIGIKBNXZKFE,Nebivolol,Delavirdine,KOHIRBRYDXPAMZ::WHBIGIKBNXZKFE,0,,,,
OHXPGWPVLFPUSM,VUHJZBBCZGVNDZ,Dehydrocholic acid,Chlormadinone,OHXPGWPVLFPUSM::VUHJZBBCZGVNDZ,0,,,,
CXQWRCVTCMQVQX,FLWFHHFTIRLFPV,Taxifolin,Bumadizone,CXQWRCVTCMQVQX::FLWFHHFTIRLFPV,0,,,,
NPRHVSBSZMAEIN,UORJNBVJVRLXMQ,Tridihexethyl,Aprobarbital,NPRHVSBSZMAEIN::UORJNBVJVRLXMQ,0,,,,
CUHVIMMYOGQXCV,QWGDMFLQWFTERH,Dexmedetomidine,Amoxapine,CUHVIMMYOGQXCV::QWGDMFLQWFTERH,0,,,,
MOVRKLZUVNCBIP,TZRHLKRLEZJVIJ,Prednisone acetate,Parecoxib,MOVRKLZUVNCBIP::TZRHLKRLEZJVIJ,0,,,,
KRMDCWKBEZIMAB,SGEGOXDYSFKCPT,Amitriptyline,Vilazodone,KRMDCWKBEZIMAB::SGEGOXDYSFKCPT,56,,,,
JWUBBDSIWDLEOM,YWDBSCORAARPPF,Calcifediol,Tixocortol,JWUBBDSIWDLEOM::YWDBSCORAARPPF,0,,,,
DKJJVAGXPKPDRL,SDUQYLNIPVEERB,Tiludronic acid,Gemcitabine,DKJJVAGXPKPDRL::SDUQYLNIPVEERB,0,,,,
CMHHMUWAYWTMGS,ZQHYKVKNPWDQSL,Oxybuprocaine,Phenazocine,CMHHMUWAYWTMGS::ZQHYKVKNPWDQSL,0,,,,
MCGSCOLBFJQGHM,NLVFBUXFDBBNBW,Abacavir,Tobramycin,MCGSCOLBFJQGHM::NLVFBUXFDBBNBW,5,,,,
OROGSEYTTFOCAN,RUDATBOHQWOJDD,Codeine,Berberine ursodeoxycholate,OROGSEYTTFOCAN::RUDATBOHQWOJDD,155,823862.4871794872,53920.16807559811,1,17442002
RLWRMIYXDPXIEX,YXKTVDFXDRQTKV,Muzolimine,Benzphetamine,RLWRMIYXDPXIEX::YXKTVDFXDRQTKV,0,,,,
JQSHBVHOMNKWFT,RNLQIBCLLYYYFJ,Varenicline,Amrinone,JQSHBVHOMNKWFT::RNLQIBCLLYYYFJ,0,,,,
PXGPLTODNUVGFL,UPSPUYADGBWSHF,Dinoprost,Tolmetin,PXGPLTODNUVGFL::UPSPUYADGBWSHF,0,,,,
WGRQANOPCQRCME,XOFYZVNMUHMLCC,Teneligliptin,Prednisone,WGRQANOPCQRCME::XOFYZVNMUHMLCC,66,,,,
BQIPXWYNLPYNHW,MIWWSGDADVMLTG,Metipranolol,Fexinidazole,BQIPXWYNLPYNHW::MIWWSGDADVMLTG,0,,,,
ILVYCEVXHALBSC,VIROVYVQCGLCII,Mivacurium,Amobarbital,ILVYCEVXHALBSC::VIROVYVQCGLCII,0,,,,
BYBLEWFAAKGYCD,YMARZQAQMVYCKC,Miconazole,Amprenavir,BYBLEWFAAKGYCD::YMARZQAQMVYCKC,0,,,,
COUYJEVMBVSIHV,WTQYWNWRJNXDEG,Olodaterol,Anisodamine,COUYJEVMBVSIHV::WTQYWNWRJNXDEG,0,,,,
KSGXQBZTULBEEQ,NZHGWWWHIYHZNX,Dabigatran etexilate,Tranilast,KSGXQBZTULBEEQ::NZHGWWWHIYHZNX,0,,,,
BDJRBEYXGGNYIS,PZRHRDRVRGEVNW,Azelaic acid,Milrinone,BDJRBEYXGGNYIS::PZRHRDRVRGEVNW,0,,,,
PWYYWQHXAPXYMF,SMSRCGPDNDCXFR,Strontium cation Sr-89,Cefbuperazone,PWYYWQHXAPXYMF::SMSRCGPDNDCXFR,0,,,,
LCDDAGSJHKEABN,QOVTVIYTBRHADL,Evogliptin,Clorsulon,LCDDAGSJHKEABN::QOVTVIYTBRHADL,0,,,,
CEFJVGZHQAGLHS,RDOIQAHITMMDAJ,Ripretinib,Loperamide,CEFJVGZHQAGLHS::RDOIQAHITMMDAJ,2,,,,
PVXVWWANJIWJOO,QVYRGXJJSLMXQH,Methylenedioxyethamphetamine,Orphenadrine,PVXVWWANJIWJOO::QVYRGXJJSLMXQH,0,,,,
BMPDWHIDQYTSHX,WVLOADHCBXTIJK,Eslicarbazepine,Hydromorphone,BMPDWHIDQYTSHX::WVLOADHCBXTIJK,2,,,,
SLVCCRYLKTYUQP,VDUWPHTZYNWKRN,Fluperolone,Cinoxacin,SLVCCRYLKTYUQP::VDUWPHTZYNWKRN,0,,,,
FAKRSMQSSFJEIM,HUPFGZXOMWLGNK,Captopril,Diflunisal,FAKRSMQSSFJEIM::HUPFGZXOMWLGNK,0,,,,
GXDALQBWZGODGZ,XAGMUUZPGZWTRP,Astemizole,Pazufloxacin,GXDALQBWZGODGZ::XAGMUUZPGZWTRP,0,,,,
GJPICJJJRGTNOD,MSYKRHVOOPPJKU,Bosentan,Brivaracetam,GJPICJJJRGTNOD::MSYKRHVOOPPJKU,8,,,,
DCSUBABJRXZOMT,NNJVILVZKWQKPM,Cisapride,Lidocaine,DCSUBABJRXZOMT::NNJVILVZKWQKPM,3,,,,
QQLKULDARVNMAL,UFSKUSARDNFIRC,Icotinib,Lumacaftor,QQLKULDARVNMAL::UFSKUSARDNFIRC,0,,,,
QPCVHQBVMYCJOM,ZKIAIYBUSXZPLP,Propiverine,Brexpiprazole,QPCVHQBVMYCJOM::ZKIAIYBUSXZPLP,0,,,,
OEHFRZLKGRKFAS,QOYHHIBFXOOADH,Droxicam,Fluspirilene,OEHFRZLKGRKFAS::QOYHHIBFXOOADH,0,,,,
GJGDLRSSCNAKGL,WRGOVNKNTPWHLZ,Clomocycline,Tioclomarol,GJGDLRSSCNAKGL::WRGOVNKNTPWHLZ,0,,,,
FFYNAVGJSYHHFO,SIDLZWOQUZRBRU,Sarpogrelate,Methyprylon,FFYNAVGJSYHHFO::SIDLZWOQUZRBRU,0,,,,
UEEJHVSXFDXPFK,UKTAZPQNNNJVKR,Deanol,Dolasetron,UEEJHVSXFDXPFK::UKTAZPQNNNJVKR,0,,,,
HNJJXZKZRAWDPF,PHTUQLWOUWZIMZ,Methapyrilene,Dosulepin,HNJJXZKZRAWDPF::PHTUQLWOUWZIMZ,0,,,,
