drug_a_ik14,drug_b_ik14,a_name,b_name,pair_id,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict,faers_pt_covered_strict,faers_best_pt_code_strict
BTFHLQRNAMSNLC,XDRYMKDFEDOLFX,Clorgiline,Pentamidine,BTFHLQRNAMSNLC::XDRYMKDFEDOLFX,0,,,,
PQXGNJKJMFUPPM,VXMOONUMYLCFJD,Ethacizine,Barnidipine,PQXGNJKJMFUPPM::VXMOONUMYLCFJD,0,,,,
FASDKYOPVNHBLU,METQSPRSQINEEU,Dexpramipexole,Drospirenone,FASDKYOPVNHBLU::METQSPRSQINEEU,0,,,,
DAFYYTQWSAWIGS,HSUGRBWQSSZJOP,Vilanterol,Diltiazem,DAFYYTQWSAWIGS::HSUGRBWQSSZJOP,4,,,,
GBLBJPZSROAGMF,KIQQMECNKUGGKA,Pralsetinib,Norgestimate,GBLBJPZSROAGMF::KIQQMECNKUGGKA,0,,,,
AMKVXSZCKVJAGH,BEWNZPMDJIGBED,Naratriptan,Benmoxin,AMKVXSZCKVJAGH::BEWNZPMDJIGBED,0,,,,
AYXYPKUFHZROOJ,YMBXTVYHTMGZDW,Pregabalin,Loxoprofen,AYXYPKUFHZROOJ::YMBXTVYHTMGZDW,132,,,,
PMRYVIKBURPHAH,QNQZBKQEIFTHFZ,Methimazole,Dexloxiglumide,PMRYVIKBURPHAH::QNQZBKQEIFTHFZ,0,,,,
WOIIIUDZSOLAIW,ZFMITUMMTDLWHR,Azapropazone,Minoxidil,WOIIIUDZSOLAIW::ZFMITUMMTDLWHR,0,,,,
GEFQWZLICWMTKF,HQVHOQAKMCMIIM,Levonordefrin,WIN 55212-2,GEFQWZLICWMTKF::HQVHOQAKMCMIIM,0,,,,
QZAYGJVTTNCVMB,ZEHYJZXQEQOSON,Serotonin,Ethchlorvynol,QZAYGJVTTNCVMB::ZEHYJZXQEQOSON,0,,,,
TZRHLKRLEZJVIJ,WHQCHUCQKNIQEC,Parecoxib,Benzbromarone,TZRHLKRLEZJVIJ::WHQCHUCQKNIQEC,0,,,,
GJJFMKBJSRMPLA,LUKBXSAWLPMMSZ,Levomilnacipran,Resveratrol,GJJFMKBJSRMPLA::LUKBXSAWLPMMSZ,0,,,,
JHFNIHVVXRKLEF,RMUCZJUITONUFY,Ceftolozane,Phenelzine,JHFNIHVVXRKLEF::RMUCZJUITONUFY,0,,,,
DTGLZDAWLRGWQN,ZNRGQMMCGHDTEI,Prasugrel,Tropisetron,DTGLZDAWLRGWQN::ZNRGQMMCGHDTEI,0,,,,
